"","ip","date","time","cik","accession","extention","size","frequencyCounter","cikDownloaded","LM"
"334","24.145.213.beh","2011-02-11",1297436918,1073431,"0001127602-11-004882","xslF345X03/form4.xml",17205,232,175,"robot"
"335","173.200.100.dda","2011-02-11",1297436915,866970,"0001193125-11-030819","ds1.htm",2341641,30,25,"human"
"336","173.200.100.dda","2011-02-11",1297436901,1512164,"0001144204-11-007431","v210183_s1.htm",726488,30,25,"human"
"337","173.200.100.dda","2011-02-11",1297436886,1097718,"0001144204-11-007432","v210823_s1a.htm",2742445,30,25,"human"
"338","24.145.213.beh","2011-02-11",1297436883,1392562,"0001181431-11-008863","xslF345X03/rrd300660.xml",19950,232,175,"robot"
"339","173.200.100.dda","2011-02-11",1297436875,1506744,"0001144204-11-007398","v210722_s1a.htm",1784402,30,25,"human"
"340","24.145.213.beh","2011-02-11",1297436875,1032975,"0001181431-11-009123","xslF345X03/rrd300766.xml",24634,232,175,"robot"
"341","24.145.213.beh","2011-02-11",1297436864,886163,"0000886163-11-000005","xslF345X03/edgardoc.xml",18645,232,175,"robot"
"342","173.200.100.dda","2011-02-11",1297436859,1320691,"0001204459-11-000354","forms1a4.htm",1221870,30,25,"human"
"343","24.145.213.beh","2011-02-11",1297436855,1069202,"0001127602-11-004871","xslF345X03/form4.xml",20090,232,175,"robot"
"344","173.200.100.dda","2011-02-11",1297436845,1440770,"0001144204-11-007369","v210533_s1a.htm",3245189,30,25,"human"
"345","24.145.213.beh","2011-02-11",1297436841,1018332,"0001018332-11-000003","xslF345X03/edgar.xml",18373,232,175,"robot"
"346","24.145.213.beh","2011-02-11",1297436824,319201,"0001181431-11-009120","xslF345X03/rrd300764.xml",18314,232,175,"robot"
"347","24.145.213.beh","2011-02-11",1297436813,55529,"0001262594-11-000001","xslF345X03/primary_doc.xml",19597,232,175,"robot"
"348","24.145.213.beh","2011-02-11",1297436805,55067,"0001225208-11-005263","xslF345X03/doc4.xml",23366,232,175,"robot"
"349","24.145.213.beh","2011-02-11",1297436795,1043604,"0001499416-11-000020","xslF345X03/edgardoc.xml",39646,232,175,"robot"
"350","24.145.213.beh","2011-02-11",1297436786,912093,"0001140361-11-007847","xslF345X03/doc1.xml",19541,232,175,"robot"
"351","24.145.213.beh","2011-02-11",1297436766,1301712,"0001437749-11-000785","xslF345X03/rdgdoc.xml",17195,232,175,"robot"
"352","24.145.213.beh","2011-02-11",1297436759,1035267,"0001252986-11-000013","xslF345X03/edgardoc.xml",19309,232,175,"robot"
"353","24.145.213.beh","2011-02-11",1297436752,728249,"0001349360-11-000004","xslF345X03/primary_doc.xml",17699,232,175,"robot"
"354","24.145.213.beh","2011-02-11",1297436744,51143,"0001181431-11-008968","xslF345X03/rrd300836.xml",31160,232,175,"robot"
"355","24.145.213.beh","2011-02-11",1297436740,1097430,"0001337851-11-000004","xslF345X03/primary_doc.xml",17935,232,175,"robot"
"356","24.145.213.beh","2011-02-11",1297436732,1047736,"0001047736-11-000002","xslF345X03/edgar.xml",36152,232,175,"robot"
"357","24.145.213.beh","2011-02-11",1297436721,49728,"0000049728-11-000010","xslF345X03/primary_doc.xml",18437,232,175,"robot"
